z;id;descricao;id;descricao
-9203046959003583414;10;Text adventures;48;Advergame
-9195738733020423388;30;Real-time tactics (RTT);46;Trivia game
-9194106548449712807;22;Choices;48;Advergame
-9188816559818224578;12;Visual novels;14;Real-time 3D adventures
-9183253152721046502;11;Graphic adventures;42;Casual games
-9178885208836914429;53;Electronic sports;40;Sports-based fighting
-9178117233735574440;15;Action RPG;13;Interactive movie
-9176810193495510761;22;Choices;36;Grand strategy wargame
-9171077145810224366;34;Turn-based tactics (TBT);48;Advergame
-9168059243920749254;1;Platform games;12;Visual novels
-9145384372417642560;49;Art game;27;4X game
-9140054975367943134;25;Life simulation;46;Trivia game
-9135190829242532934;16;MMORPG;19;Sandbox RPG
-9133989733476481452;49;Art game;53;Electronic sports
-9125188424794507810;54;Exergame;16;MMORPG
-9123064558279584173;17;Roguelikes;19;Sandbox RPG
-9120084569744063534;13;Interactive movie;49;Art game
-9118618235823633201;7;Rhythm games;25;Life simulation
-9117774752573837008;1;Platform games;2;Shooter games
-9110587011763962771;13;Interactive movie;34;Turn-based tactics (TBT)
-9109009513264925592;56;Serious game;23;Fantasy
-9106217311780249241;15;Action RPG;24;Construction and management simulation
-9101776923891761917;25;Life simulation;8;Survival horror
-9099227629156129491;18;Tactical RPG;26;Vehicle simulation
-9081604038647814552;49;Art game;35;Wargame
-9072454811308920986;21;Cultural differences;24;Construction and management simulation
-9067518129995477458;56;Serious game;53;Electronic sports
-9062283255191011957;49;Art game;55;Personalized game
-9061250858501039297;55;Personalized game;11;Graphic adventures
-9060788002571817344;30;Real-time tactics (RTT);16;MMORPG
-9059388251403203585;55;Personalized game;15;Action RPG
-9046825082748671471;35;Wargame;20;First-person party-based RPG
-9041833273632867263;8;Survival horror;41;MMO
-9035375035116274472;53;Electronic sports;56;Serious game
-9031581588603923851;15;Action RPG;53;Electronic sports
-9025345814801094958;14;Real-time 3D adventures;45;Logic game
-9023854738410497559;20;First-person party-based RPG;48;Advergame
-9021732242207857701;12;Visual novels;15;Action RPG
-9019143986466211214;38;Sports game;33;Turn-based strategy (TBS)
-9010591501421818958;22;Choices;17;Roguelikes
-8998805135456336484;35;Wargame;9;Metroidvania
-8996734115737547890;40;Sports-based fighting;37;Racing
-8993516266043525187;30;Real-time tactics (RTT);52;Educational game
-8988367759208139371;10;Text adventures;9;Metroidvania
-8985677299460200306;33;Turn-based strategy (TBS);16;MMORPG
-8976910913398012005;1;Platform games;50;Casual game
-8970164318164277887;2;Shooter games;46;Trivia game
-8968980857849569889;48;Advergame;3;Fighting games
-8955509700377713334;16;MMORPG;21;Cultural differences
-8953333881906463295;9;Metroidvania;33;Turn-based strategy (TBS)
-8945521780248256871;18;Tactical RPG;5;Stealth game
-8932879606334035640;42;Casual games;56;Serious game
-8926936345694431583;38;Sports game;19;Sandbox RPG
